FrameNum,timeInfo,signal-target
3520.00,[12:57:11.3651],1670.00
3521.00,[12:57:11.3851],4699.00
3522.00,[12:57:11.4052],285.000
3523.00,[12:57:11.4252],3345.00
3524.00,[12:57:11.4452],646.000
3525.00,[12:57:11.4653],8799.00
3526.00,[12:57:11.4853],878.000
3527.00,[12:57:11.5053],5504.00
3528.00,[12:57:11.5254],10840.0
3529.00,[12:57:11.5454],-2698.00
3530.00,[12:57:11.5655],-3075.00
3531.00,[12:57:11.5855],3036.00
3532.00,[12:57:11.6055],4138.00
3533.00,[12:57:11.6256],3597.00
3534.00,[12:57:11.6456],-7129.00
3535.00,[12:57:11.6657],8923.00
3536.00,[12:57:11.6857],8365.00
3537.00,[12:57:11.7057],6887.00
3538.00,[12:57:11.7258],-3788.00
3539.00,[12:57:11.7458],7820.00
3540.00,[12:57:11.7658],4771.00
3541.00,[12:57:11.7859],-1471.00
3542.00,[12:57:11.8059],4602.00
3543.00,[12:57:11.8260],9197.00
3544.00,[12:57:11.8460],13832.0
3545.00,[12:57:11.8660],3823.00
3546.00,[12:57:11.8861],659.000
3547.00,[12:57:11.9061],5529.00
3548.00,[12:57:11.9262],3550.00
3549.00,[12:57:11.9462],-2527.00
3550.00,[12:57:11.9662],2002.00
3551.00,[12:57:11.9863],1576.00
3552.00,[12:57:12.0063],-744.000
3553.00,[12:57:12.0264],2064.00
3554.00,[12:57:12.0464],5899.00
3555.00,[12:57:12.0664],3440.00
3556.00,[12:57:12.0865],-352.000
3557.00,[12:57:12.1065],-2198.00
3558.00,[12:57:12.1265],7882.00
3559.00,[12:57:12.1466],6976.00
3560.00,[12:57:12.1666],920.000
3561.00,[12:57:12.1867],6969.00
